+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[29]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[31]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[25]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[28]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[27]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[21]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[24]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[23]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[17]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[20]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[19]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[16]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[12]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                        zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[11]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                         zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[8]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                         zybo_7_i/macc_ip_0/U0/macc_ip_v1_0_S00_AXI_inst/resultat_reg[7]/D|
|               clk_fpga_0 |               clk_fpga_0 |                 zybo_7_i/axi_timer_0/U0/TC_CORE_I/COUNTER_0_I/COUNTER_I/INFERRED_GEN.icount_out_reg[31]/D|
